Loading nx graphs
Converting graphs
Data loaded
Epoch: 089, loss: 0.9556, AUC: 0.8535, AP: 0.8435
Epoch: 090, loss: 0.9555, AUC: 0.8526, AP: 0.8419
Epoch: 091, loss: 0.9550, AUC: 0.8529, AP: 0.8422
Epoch: 092, loss: 0.9548, AUC: 0.8546, AP: 0.8443
Epoch: 093, loss: 0.9556, AUC: 0.8546, AP: 0.8465
Epoch: 094, loss: 0.9556, AUC: 0.8569, AP: 0.8491
Epoch: 095, loss: 0.9554, AUC: 0.8553, AP: 0.8444
Epoch: 096, loss: 0.9551, AUC: 0.8560, AP: 0.8451
Epoch: 097, loss: 0.9556, AUC: 0.8510, AP: 0.8442
Epoch: 098, loss: 0.9552, AUC: 0.8548, AP: 0.8453
Epoch: 099, loss: 0.9554, AUC: 0.8483, AP: 0.8399
Epoch: 100, loss: 0.9549, AUC: 0.8546, AP: 0.8469
Epoch: 101, loss: 0.9555, AUC: 0.8527, AP: 0.8426
Epoch: 102, loss: 0.9547, AUC: 0.8488, AP: 0.8391
Epoch: 103, loss: 0.9559, AUC: 0.8530, AP: 0.8448
Epoch: 104, loss: 0.9554, AUC: 0.8521, AP: 0.8418
Epoch: 105, loss: 0.9547, AUC: 0.8584, AP: 0.8514
Epoch: 106, loss: 0.9547, AUC: 0.8547, AP: 0.8443
Epoch: 107, loss: 0.9555, AUC: 0.8530, AP: 0.8423
Epoch: 108, loss: 0.9551, AUC: 0.8536, AP: 0.8463
Epoch: 109, loss: 0.9552, AUC: 0.8528, AP: 0.8434
Epoch: 110, loss: 0.9554, AUC: 0.8514, AP: 0.8407
Epoch: 111, loss: 0.9549, AUC: 0.8573, AP: 0.8491
Epoch: 112, loss: 0.9552, AUC: 0.8551, AP: 0.8456
Epoch: 113, loss: 0.9551, AUC: 0.8530, AP: 0.8436
Epoch: 114, loss: 0.9549, AUC: 0.8547, AP: 0.8453
Epoch: 115, loss: 0.9553, AUC: 0.8543, AP: 0.8428
Epoch: 116, loss: 0.9552, AUC: 0.8565, AP: 0.8461
Epoch: 117, loss: 0.9549, AUC: 0.8551, AP: 0.8453
Epoch: 118, loss: 0.9554, AUC: 0.8514, AP: 0.8394
Epoch: 119, loss: 0.9547, AUC: 0.8512, AP: 0.8414
Epoch: 120, loss: 0.9543, AUC: 0.8560, AP: 0.8460
Epoch: 121, loss: 0.9548, AUC: 0.8572, AP: 0.8474
Epoch: 122, loss: 0.9541, AUC: 0.8516, AP: 0.8418
Epoch: 123, loss: 0.9542, AUC: 0.8534, AP: 0.8412
Epoch: 124, loss: 0.9549, AUC: 0.8561, AP: 0.8471
Epoch: 125, loss: 0.9540, AUC: 0.8549, AP: 0.8449
Epoch: 126, loss: 0.9548, AUC: 0.8541, AP: 0.8466
Epoch: 127, loss: 0.9542, AUC: 0.8532, AP: 0.8417
Epoch: 128, loss: 0.9546, AUC: 0.8531, AP: 0.8422
Epoch: 129, loss: 0.9549, AUC: 0.8558, AP: 0.8456
Epoch: 130, loss: 0.9550, AUC: 0.8570, AP: 0.8481
Epoch: 131, loss: 0.9553, AUC: 0.8554, AP: 0.8471
Epoch: 132, loss: 0.9547, AUC: 0.8552, AP: 0.8447
